"";"CCR";"50";"60";"70";"80";"90";"100";"110";"120";"130";"140";"150"
"1";30;400;360;420;400;360;400;NA;NA;NA;NA;NA
"12";40;400;420;420;400;450;400;440;NA;NA;NA;NA
"23";50;450;480;420;480;450;500;440;480;520;NA;NA
"34";60;500;480;490;480;540;500;550;480;520;560;NA
"45";70;550;540;560;560;540;600;550;600;520;560;600
"56";80;550;600;560;560;540;600;550;600;650;560;600
"67";90;600;600;630;640;630;600;660;600;650;700;600
"78";100;650;660;630;640;630;600;660;720;650;700;750
"89";110;700;660;700;720;720;700;660;720;780;700;750
"100";120;700;720;700;720;720;700;770;720;780;700;750
"111";130;750;780;770;800;810;800;770;720;780;840;750
"122";140;NA;780;770;800;810;800;770;840;780;840;900
"133";150;NA;840;840;880;810;900;880;840;780;840;900
