"";"CCR";"50";"60";"70";"80";"90";"100";"110";"120";"130";"140";"150"
"1";30;300;300;350;320;NA;NA;NA;NA;NA;NA;NA
"12";40;350;360;350;320;360;NA;NA;NA;NA;NA;NA
"23";50;350;360;350;400;360;400;NA;NA;NA;NA;NA
"34";60;400;420;420;400;450;400;440;NA;NA;NA;NA
"45";70;450;420;420;480;450;500;440;480;NA;NA;NA
"56";80;450;480;490;480;450;500;440;480;520;NA;NA
"67";90;500;480;490;480;540;500;550;480;520;560;NA
"78";100;500;540;560;560;540;500;550;600;520;560;600
"89";110;550;540;560;560;540;600;550;600;650;560;600
"100";120;600;600;560;560;630;600;660;600;650;560;600
"111";130;600;600;630;640;630;600;660;600;650;700;600
"122";140;650;660;630;640;630;700;660;720;650;700;750
"133";150;650;660;700;720;720;700;660;720;650;700;750
